_key,name,Pivot Field Values,followers,popularity
2bA6fzP0lMAQ4kz6CF61w8,Toby Keith,Chillout & Relaxation,2138217,66
3vHV92ecrylnUHDM4d2MtC,Tyler Farr,Chillout & Relaxation,731704,47
5q8HGNo0BjLWaTAhRtbwxa,Brantley Gilbert,Chillout & Relaxation,2974373,63
1n2pb9Tsfe4SwAjmUac6YT,Jake Owen,Chillout & Relaxation,1925650,62
1456WwI15Lm9CktCzkLZvm,Josh Gracin,Chillout & Relaxation,240946,39
4TONBKcqVR1LmPdfJxvkMU,Eric Paslay,Chillout & Relaxation,464656,44
7FY5V3XMwlNBPitEjXowHQ,Darius Rucker,R&B and Soul Grooves,2512707,65
7FY5V3XMwlNBPitEjXowHQ,Darius Rucker,Chillout & Relaxation,2512707,65
4DZGvSv2oMkBUnPz67E6z6,David Nail,Chillout & Relaxation,394630,47
56x8mYvS3cyDGAi8N2FxbB,Randy Houser,Chillout & Relaxation,1011228,59
5Zq7R5qmi58ByYyBQTlNuk,Lee Brice,Chillout & Relaxation,2179497,67
6yJCxee7QumYr820xdIsjo,Zac Brown Band,Chillout & Relaxation,3725909,69
6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,Chillout & Relaxation,4665568,70
1By9QBFnjZAoI83BZppHlt,Billy Currington,Chillout & Relaxation,2611383,63
4TshyQDihSYXSWqvclXl3I,Parmalee,Chillout & Relaxation,227079,56
3CygdxquGHurS7f9LjNLkv,Little Big Town,Indie/Alternative Vibes,2764739,60
3CygdxquGHurS7f9LjNLkv,Little Big Town,Chillout & Relaxation,2764739,60
2hJPr4lk7Q8SSvCVBl9fWM,Kip Moore,Chillout & Relaxation,1268319,58
0OpWIlokQeE7BNQMhuu2Nx,Colt Ford,Country Jams,1146135,57
0OpWIlokQeE7BNQMhuu2Nx,Colt Ford,Chillout & Relaxation,1146135,57
0oBEeN6BCxEgMogzThqrPf,Big & Rich,Chillout & Relaxation,1196367,55
30e8DmahrEamvLbFRPdWmk,Justin Moore,Chillout & Relaxation,1828253,61
3bGXaFVQLASmDMdjjeJr8a,Montgomery Gentry,Chillout & Relaxation,1461564,54
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,Indie/Alternative Vibes,5906451,68
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,Electronic/Dance Beats,5906451,68
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,Chillout & Relaxation,5906451,68
0u2FHSq3ln94y5Q57xazwf,Keith Urban,Indie/Alternative Vibes,5218140,66
